종목코드,종목명,종가,대비,등락률,상장시가총액
"002380","KCC","535000","15000","2.88","5628200.0"
"011170","롯데케미칼","161000","1000","0.63","5518342.0"
"010950","S-Oil","48600","200","0.41","5471524.0"
"018880","한라비스테온공조","47550","-850","-1.76","5076438.0"
"032640","LG유플러스","11600","100","0.87","5064692.0"
"029780","삼성카드","43750","-450","-1.02","5068826.0"
"011210","현대위아","179500","3500","1.99","4881517.0"
"000720","현대건설","40950","-1150","-2.73","4560019.0"
"036460","한국가스공사","49100","-450","-0.91","4532568.0"
"010140","삼성중공업","19650","-300","-1.50","4536701.0"
"001040","CJ","157500","1500","0.96","4580797.0"
"000120","CJ대한통운","187500","-8500","-4.34","4277315.0"
"009150","삼성전기","55500","800","1.46","4145500.0"
"036570","엔씨소프트","180500","-1500","-0.82","3958188.0"
"097950","CJ제일제당","303000","-3500","-1.14","3980904.0"
"005830","동부화재","54900","-100","-0.18","3886920.0"
"047810","한국항공우주","39800","0","0.00","3879509.0"
"008770","호텔신라","94800","3400","3.72","3720722.0"
"078930","GS","39850","-150","-0.38","3702678.0"
"042660","대우조선해양","18750","100","0.54","3588577.0"
"051600","한전KPS","77000","-2700","-3.39","3465000.0"
"047050","대우인터내셔널","30400","-1050","-3.34","3461839.0"
"016360","삼성증권","44600","50","0.11","3409008.0"
"138930","BS금융지주","14400","-100","-0.69","3375071.0"
"006800","대우증권","10100","270","2.75","3299679.0"
"012630","현대산업","39050","350","0.90","2943752.0"
"069960","현대백화점","123500","500","0.41","2890201.0"
"012750","에스원","71100","-100","-0.14","2701742.0"
"071050","한국금융지주","48100","-400","-0.82","2680420.0"
"011070","LG이노텍","111500","-1000","-0.89","2638882.0"
"003490","대한항공","45150","-2300","-4.85","2649196.0"
"004990","롯데제과","1770000","-10000","-0.56","2515878.0"
"034020","두산중공업","22750","-900","-3.81","2415100.0"
"011780","금호석유","80700","100","0.12","2458743.0"
"047040","대우건설","5590","-300","-5.09","2323331.0"
"004800","효성","67100","-1300","-1.90","2356381.0"
"000670","영풍","1250000","12000","0.97","2302550.0"
"000210","대림산업","64500","-1300","-1.98","2244600.0"
"000880","한화","30300","-950","-3.04","2271250.0"
"000240","한국타이어월드와이드","24550","100","0.41","2283645.0"
"001740","SK네트웍스","8820","-120","-1.34","2189015.0"
"000150","두산","101500","-2000","-1.93","2158995.0"
"042670","두산인프라코어","9910","190","1.95","2055882.0"
"005940","우리투자증권","10300","50","0.49","2052315.0"
"114090","GKL","32900","650","2.02","2035052.0"
"030000","제일기획","17150","-50","-0.29","1972957.0"
"052690","한전기술","49650","-1650","-3.22","1897623.0"
"000100","유한양행","169000","-500","-0.29","1884780.0"
"005300","롯데칠성","1480000","-5000","-0.34","1831060.0"
"011200","현대상선","10700","700","7.00","1811224.0"
"009830","한화케미칼","11350","-450","-3.81","1838014.0"
